"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978944","Classroom-based assistive technology: collective use of interactive visual schedules by students with autism","4 ","222","798","1,559","assistive technology; computer uses in education; education; measurement; visual schedules","10","Meg Cramer, University of California, Irvine, Irvine, California, USA; Sen H. Hirano, University of California, Irvine, Irvine, California, USA; Monica Tentori, University of California, Irvine, Irvine, California, USA; Michael T. Yeganyan, University of California, Irvine, Irvine, California, USA"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978945","Privacy risks emerging from the adoption of innocuous wearable sensors in the mobile environment","6 ","26","227","686","design; information disclosure; mobile health; privacy; sensors; wearable sensors","10","Andrew Raij, University of South Florida, Tampa, Florida, USA; Animikh Ghosh, University of Memphis, Memphis, Tennessee, USA"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978946","Interaction design for cancer patients: do we need to take into account the effects of illness and medication?","1 ","19","153","489","cancer patients; health; measurement; patient-centred information systems; user interfaces","4","Anita Das, Norwegian University of Science and Technology, Trondheim, Norway; Arild Faxvaag, Norwegian University of Science and Technology, Trondheim, Norway"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978947","Simulating the feel of brain-computer interfaces for design, development and social interaction","0 ","25","173","512","brain-computer interaction; cognitive simulation; disability; hci; human factors; motor imagery; simulation; social interaction; user interfaces","4","Melissa Quek, University of Glasgow, Glasgow, United Kingdom; Daniel Boland, University of Glasgow, Glasgow, United Kingdom; John Williamson, University of Glasgow, Glasgow, United Kingdom; Roderick Murray-Smith, University of Glasgow, Glasgow, United Kingdom; Michele Tavella, &#201;cole Polytechnique F&#233;d&#233;rale de Lausanne, Lausanne, Switzerland; Serafeim Perdikis, &#201;cole Polytechnique F&#233;d&#233;rale de Lausanne, Lausanne, Switzerland; Martijn Schreuder, Technische Universit&#228;t Berlin, Berlin, Germany"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978948","Characterizing patient-friendly ""micro-explanations""of medical events","1 ","23","135","394","design; experimentation; measurement; performance; web-based interaction","4","Lauren Wilcox, Mixrosoft Research, Cambridge, MA, and Columbia University, New York, New York, USA; Dan Morris, Microsoft Research, Cambridge, MA, USA; Desney Tan, Microsoft Research, Cambridge, MA, USA"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978950","""Now, i have a body"": uses and social norms for mobile remote presence in the workplace","11 ","29","225","699","computer supported collaborative work; design; human-robot interaction; mobile remote presence","10",""
"CHI","11","http://dx.doi.org/10.1145/1978942.1978951","Hands on hitchcock: embodied reference to a moving scene","2 ","24","149","511","artificial, augmented, and virtual realities; design; experimentation; interaction analysis; media spaces; virtual reality","10","Paul Luff, King's College, London, London, United Kingdom; Naomi Yamashita, NTT Communication Science Laboratories, Kyoto, Japan; Hideaki Kuzuoka, University of Tsukuba, Tsukuba, Japan"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978952","Exploring camera viewpoint control models for a multi-tasking setting in teleoperation","1 ","24","360","758","algorithms; data mining; dual manual control; measurement; natural interaction; remote camera control","10","Dingyun Zhu, ANU, Canberra, Australia"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978953","Zoom cameras and movable displays enhance social telepresence","2 ","29","210","579","computer conferencing, teleconferencing, and videoconferencing; experimentation; image displays; performance; telerobotics; web-based interaction","10","Hideyuki Nakanishi, Osaka University, Suita, Japan; Kei Kato, Osaka University, Suita, Japan"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978955","Breath control of amusement rides","7 ","23","148","381","affective computing; biosensing; breathing; design; measurement; themepark; user interfaces","10","Joe Marshall, University of Nottingham, Nottingham, United Kingdom; Duncan Rowland, University of Nottingham &#38; University of Lincoln, Nottingham, United Kingdom; Stefan Rennick Egglestone, University of Nottingham, Nottingham, United Kingdom; Steve Benford, University of Nottingham, Nottingham, United Kingdom; Brendan Walker, University of Nottingham, Nottingham, United Kingdom"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978956","Time characteristics of olfaction in a single breath","0 ","16","94","259","design; human factors; olfactory display; performance; user interfaces","10","Daisuke Noguchi, Keio University, Kohoku-ku, Yokohama, Kanagawa, Japan; Sayumi Sugimoto, Keio University, Kohoku-ku, Yokohama, Kanagawa, Japan; Yuichi Bannai, Canon Inc., Shimomaruko, Ohta-ku, Tokyo, Japan"
"CHI","11","http://dx.doi.org/10.1145/1978942.1978957","Augmented reality flavors: gustatory display based on edible marker and cross-modal interaction","5 ","28","239","610","artificial, augmented, and virtual realities; cross-modal interaction; edible marker; gustatory display; image displays; performance","10","Takuji Narumi, The University of Tokyo and JSPS, Tokyo, Japan; Shinya Nishizaka, The University of Tokyo, Tokyo, Japan; Takashi Kajinami, The University of Tokyo, Tokyo, Japan; Tomohiro Tanikawa, The University of Tokyo, Tokyo, Japan"
