"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753328","Estimating residual error rate in recognized handwritten documents using artificial error injection","0 ","9","84","711","artificial error.; measurement; performance","4","Edward Lank, University of Waterloo, Waterloo, ON, Canada; Ryan Stedman, University of Waterloo, Waterloo, ON, Canada"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753329","Predicting the cost of error correction in character-based text entry technologies","2 ","8","95","530","cognitive model; error rate; human factors; measurement; performance; prediction","10","Ahmed Sabbir Arif, York University, Toronto, ON, Canada"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753330","SHRIMP: solving collision and out of vocabulary problems in mobile predictive input with motion gesture","3 ","13","98","896","camera phones; dictionary-based disambiguation; gestures; human factors; mobile devices; multitap; t9; theory and methods","10","Jingtao Wang, UC Berkeley, Berkeley, CA, USA; Shumin Zhai, IBM Almaden Research Center, San Jose, CA, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753332","Reactive information foraging for evolving goals","5 ","13","70","624","experimentation; human factors; information foraging theory; testing and debugging","10","Joseph Lawrance, Massachusetts Institute of Technology, Cambridge, MA, USA; Margaret Burnett, Oregon State University, Corvallis, OR, USA; Rachel Bellamy, IBM Research, Hawthorne, NY, USA; Christopher Bogart, Oregon State University, Corvallis, OR, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753333","How does search behavior change as search becomes more difficult?","26 ","25","341","1,538","behavioral signals; human factors; search engines; web search","10","Anne Aula, Google, Mountain View, CA, USA; Rehan M. Khan, Google, Mountain View, CA, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753334","Effects of popularity and quality on the usage of query suggestions during information search","6 ","17","114","642","human factors; query popularity; query recommendation; search behavior; usage","10","Diane Kelly, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; Amber Cushing, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; Maureen Dostert, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; Xi Niu, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753336","Space to think: large high-resolution displays for sensemaking","16 ","27","229","1,331","experimentation; large","10","Christopher Andrews, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA; Alex Endert, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753337","Effects of interior bezels of tiled-monitor large displays on visual search, tunnel steering, and target selection","9 ","11","97","621","experimentation; interior bezels; target selection; tunnel steering","10","Xiaojun Bi, University of Toronto, Toronto, ON, Canada; Seok-Hyung Bae, University of Toronto, Toronto, ON, Canada"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753338","Let's go from the whiteboard: supporting transitions in work through whiteboard capture and reuse","13 ","15","127","806","human factors; miscellaneous; workflow","10","Stacy Branham, Virginia Tech, Blacksburg, VA, USA; Gene Golovchinsky, FX Palo Alto Laboratory, Inc., Palo Alto, CA, USA; Scott Carter, FX Palo Alto Laboratory, Inc., Palo Alto, CA, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753340","Multitasking and monotasking: the effects of mental workload on deferred task interruptions","5 ","18","146","694","attention; design; human factors; instant messaging; multitasking; theory and methods","4","Dario D. Salvucci, Drexel University, Philadelphia, PA, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753341","On reconstruction of task context after interruption","2 ","11","64","439","attention; human factors; human information processing; multitasking; theory and methods","4",""
"CHI","10","http://dx.doi.org/10.1145/1753326.1753342","Evaluating cues for resuming interrupted programming tasks","5 ","14","97","473","cues; interruptions; user interfaces","10","Chris Parnin, Georgia Institute of Technology, Atlanta, GA, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753343","Multitasking bar: prototype and evaluation of introducing the task concept into a browser","3 ","12","99","609","browser; experimentation; measurement; multiple sessions task; performance; tasks","10","Qing Wang, Sun Yat-Sen University, Guangzhou, China"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753345","Across boundaries of influence and accountability: the multiple scales of public sector information systems","3 ","11","70","397","computer-supported collaborative work; design; human factors; organizational bound- aries","10","Christopher A. Le Dantec, Georgia Institute of Technology, Atlanta, GA, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753346","A case study of micro-blogging in the enterprise: use, value, and related issues","10 ","51","377","1,496","communications applications; human factors; social media; yammer","10","Jun Zhang, Pitney Bowes Inc. , Shelton, CT, USA; Yan Qu, University of Maryland, College Park, MD, USA; Jane Cody, Pitney Bowes Inc., Shelton, CT, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753347","Student socialization in the age of facebook","17 ","97","896","2,948","facebook; human factors; social networking","10","Louise Barkhuus, University of California, San Diego, La Jolla, CA, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753349","Independence and interaction: understanding seniors' privacy and awareness needs for aging in place","1 ","21","153","691","aging in place; awareness; home; privacy","10","Jeremy Birnholtz, Cornell University, Ithaca, NY, USA"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753350","Contravision: exploring users' reactions to futuristic technology","8 ","24","165","660","contravision; elicitation methods; human factors; personal technology; representation; theory; video","10","Clara Mancini, The Open University, Milton Keynes, United Kingdom; Yvonne Rogers, The Open University, Milton Keynes, United Kingdom; Arosha K. Bandara, The Open University, Milton Keynes, United Kingdom; Tony Coe, The Open University, Milton Keynes, United Kingdom; Lukasz Jedrzejczyk, UNiversity of Bath, Bath, United Kingdom; Adam N. Joinson, The Open University, Milton Keynes, United Kingdom; Blaine A. Price, The Open University, Milton Keynes, United Kingdom"
