"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"














"CHI","08","http://dx.doi.org/10.1145/1357054.1357056","Ambient social tv: drawing people into a shared experience","23 ","32","249","1,951","ambient displays; human factors; miscellaneous; social television","10","Gunnar Harboe, Motorola Labs, Schaumburg, IL, USA; Crysta J. Metcalf, Motorola Labs, Schaumburg, IL, USA; Frank Bentley, Motorola Labs, Schaumburg, IL, USA; Joe Tullio, Motorola Labs, Schaumburg, IL, USA; Noel Massey, Motorola Labs, Schaumburg, IL, USA"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357057","Re-placing faith: reconsidering the secular-religious use divide in the United States and Kenya","9 ","11","198","833","design; miscellaneous; sketching","10","Susan P. Wyche, Georgia Institute of Technology, Atlanta, GA, USA; Paul M. Aoki, Intel Research, Berkeley, CA, USA"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357058","From <i>meiwaku</i> to <i>tokushita</i>!: lessons for digital money design from japan","4 ","17","163","1,039","cybercash, digital cash; digital money; e-wallets; japan; ubiquitous computing","4","Scott Mainwaring, Intel Research, Portland, OR, USA; Wendy March, Intel Research, Portland, OR, USA"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357059","Human-Currency Interaction: learning from virtual currency use in China","7 ","18","151","912","china; digital money; hci design; miscellaneous; trust; virtual worlds","4","Yang Wang, University of California, Irvine, Irvine, CA, USA"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357061","CueFlik: interactive concept learning in image search","27 ","36","103","930","cueflik; interactive concept learning; user/machine systems","10","James Fogarty, University of Washington, Seattle, WA, USA; Desney Tan, Microsoft Research, Seattle, WA, USA; Ashish Kapoor, Microsoft Research, Seattle, WA, USA"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357062","Knowledge in the head and on the web: using topic expertise to aid search","6 ","17","75","751","domain knowledge; expertise; information scent; query formulation; web search","10","Geoffrey B. Duggan, University of Manchester, Manchester, United Kingdom"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357063","MQSearch: image search by multi-class query","5 ","12","49","555","algorithms; design; image retrieval; prototyping; relevance feedback","4","Yiwen Luo, The Chinese University of Hong Kong, Hong Kong, Hong Kong; Wei Liu, The Chinese University of Hong Kong, Hong Kong, Hong Kong; Jianzhuang Liu, The Chinese University of Hong Kong, Hong Kong, Hong Kong"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357065","AutoTopography: what can physical mementos tell us about digital memories?","31 ","18","116","1,011","autobiographical memory; digital mementos; human factors","10","Daniela Petrelli, University of Sheffield, Sheffield, United Kingdom; Steve Whittaker, University of Sheffield, Sheffield, United Kingdom"
"CHI","08","http://dx.doi.org/10.1145/1357054.1357066","Mobile multimedia presentation editor: enabling creation of audio-visual stories on mobile devices","14 ","25","82","1,190","animations; content creation; editor; human factors; mms; multimedia messages; smil; user interfaces","10","Tero Jokela, Nokia Research Center, Tampere, Finland; Jaakko T. Lehikoinen, Nokia Research Center, Tampere, Finland"
