"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","93","http://dx.doi.org/10.1145/169059.169060","Mixing oil and water?: Ethnography versus experimental psychology in the study of computer-mediated communication","9 ","8","39","857","anthropology; communications applications; ethnography; experimental methods; experimentation; human factors; theory","4","Andrew Monk, Department of Psychology, University of York, YO1 5DD, UK; Bonnie Nardi, Media Technology Lab., Hewlett-Packard Laboratories, Palo Alto, CA; Nigel Gilbert, Department of Sociology, University of Surrey, Guildford, GU2 5XH, U.K.; Marilyn Mantei, Department of Computer Science, University of Toronto, M5S 1A4, Canada"
"CHI","93","http://dx.doi.org/10.1145/169059.169061","Preserving knowledge in design projects: what designers need to know","12 ","6","33","759","design; design rationale; human factors; management; software development","8","James D. Herbsleb, Univ. of Michigan, Ann Arbor"
"CHI","93","http://dx.doi.org/10.1145/169059.169062","From &ldquo;folklore&rdquo; to &ldquo;living design memory&rdquo;","13 ","4","27","134","design; knowledge representation; organizational design; software development; software productivity","8","Loren G. Terveen, 600 Mountain Avenue AT&T Bell Laboratories, Murray Hill, NJ; Peter G. Selfridge, 600 Mountain Avenue AT&T Bell Laboratories, Murray Hill, NJ"
"CHI","93","http://dx.doi.org/10.1145/169059.169063","Where did you put it? Issues in the design and use of a group memory","24 ","10","58","738","collaborative work; design; group conventions; human factors; hypertext/hypermedia; information sharing","8","Lucy M. Berlin, Hewlett-Packard Laboratories, 1501 Page Mill Rd., Palo Alto, CA; Robin Jeffries, Hewlett-Packard Laboratories, 1501 Page Mill Rd., Palo Alto, CA; Vicki L. O'Day, Hewlett-Packard Laboratories, 1501 Page Mill Rd., Palo Alto, CA; Andreas Paepcke, Hewlett-Packard Laboratories, 1501 Page Mill Rd., Palo Alto, CA"
"CHI","93","http://dx.doi.org/10.1145/169059.169065","Facile 3D direct manipulation","15 ","6","59","717","audio input/output; design; experimentation; input devices; interaction; three dimensional graphics","6",""
"CHI","93","http://dx.doi.org/10.1145/169059.169066","Fish tank virtual reality","64 ","22","187","1,174","design; human factors; input devices and strategies; scientific visualization; virtual reality","6","Colin Ware, Faculty of Computer Science, P.O Box 4400, University of New Brunswick, Canada E3B 5A3; Kevin Arthur, Department of Computer Science, 6356 Agricultural Road, University of British Columbia, Vancouver, B.C., Canada V6T 1Z2"
"CHI","93","http://dx.doi.org/10.1145/169059.169068","A space based model for user interaction in shared synthetic environments","16 ","7","29","420","3d; cscw; distribution; human factors; resource sharing; theory; virtual reality; visualization","6","Lennart E. Fahl&#233;n, Distributed Systems Laboratory, Swedish Institute of Computer Science, Box 1263, S-164 28 Kista, Stockholm, Sweden; Charles Grant Brown, Knowledge Communication Group, Swedish Institute of Computer Science, Box 1263, S-164 28 Kista, Stockholm, Sweden; Olov St&#229;hl, Distributed Systems Laboratory, Swedish Institute of Computer Science, Box 1263, S-164 28 Kista, Stockholm, Sweden"
"CHI","93","http://dx.doi.org/10.1145/169059.169067","HCI in the school of computer science at Carnegie Mellon University","0 ","6","17","216","computer science education; human factors; interaction styles; theory and methods","2","Bonnie E. John, Computer Science and Psychology, Carnegie Mellon University, Pittsburgh, PA"
"CHI","93","http://dx.doi.org/10.1145/169059.169069","Human cognition research laboratory: the Open University (U.K.)","0 ","5","16","176","computer science education; human factors; prolog","2",""
"CHI","93","http://dx.doi.org/10.1145/169059.169071","The Integrated User-Support Environment (IN-USE) Group at USC/ISI","0 ","4","15","206","design; human factors; interaction styles","2","Robert Neches, USC/Information Sciences Institute, 4676 Admiralty Way, Marina del Rey, CA; Peter Aberg, USC/Information Sciences Institute, 4676 Admiralty Way, Marina del Rey, CA; David Benjamin, USC/Information Sciences Institute, 4676 Admiralty Way, Marina del Rey, CA; Brian Harp, USC/Information Sciences Institute, 4676 Admiralty Way, Marina del Rey, CA; Liyi Hu, USC/Information Sciences Institute, 4676 Admiralty Way, Marina del Rey, CA; Ping Luo, USC/Information Sciences Institute, 4676 Admiralty Way, Marina del Rey, CA; Roberto Moriy&#243;n, USC/Information Sciences Institute, 4676 Admiralty Way, Marina del Rey, CA"
