"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","88","http://dx.doi.org/10.1145/57167.57168","Grasping reality through illusion&mdash;interactive graphics serving science","72 ","14","98","1,281","animation; design; human factors; modeling packages","11",""
"CHI","88","http://dx.doi.org/10.1145/57167.57169","Exploratory evaluation of a planar foot-operated cursor-positioning device","9 ","5","21","346","design; human factors; performance","6","G. Pearson, Univ. of Maryland, College Park"
"CHI","88","http://dx.doi.org/10.1145/57167.57170","An improved automatic lipreading system to enhance speech recognition","13 ","5","59","820","design; human factors; natural language interfaces; speech recognition and synthesis","7","E. Petajan, AT&T Bell Laboratories, Murray Hill, NJ; B. Bischoff, AT&T Bell Laboratories, Murray Hill, NJ; D. Bodoff, AT&T Bell Laboratories, Murray Hill, NJ"
"CHI","88","http://dx.doi.org/10.1145/57167.57171","Improving the accuracy of touch screens: an experimental evaluation of three strategies","72 ","26","240","2,430","design; human factors; interaction techniques","6","R. L. Potter, Univ. of Maryland, College Park"
"CHI","88","http://dx.doi.org/10.1145/57167.57172","Perspectives on algorithm animation","30 ","5","14","173","algorithms; design; human factors; user interfaces","6",""
"CHI","88","http://dx.doi.org/10.1145/57167.57173","A graphical programming language interface for an intelligent LISP tutor","3 ","4","16","468","design; human factors; languages; lisp","6","B. J. Reiser, Princeton Univ., Princeton, NJ; P. Friedmann, Princeton Univ., Princeton, NJ; J. Gevins, Princeton Univ., Princeton, NJ; D. Y. Kimberg, Princeton Univ., Princeton, NJ"
"CHI","88","http://dx.doi.org/10.1145/57167.57174","Users' preferences among different techniques for displaying the evaluation of LISP functions in an interactive debugger","0 ","2","8","187","debugging aids; human factors; languages; program verification; verification","6","J. M. Hary, International Business Machines Corporation, San Jose, CA; L. A. Cohan, International Business Machines Corporation, San Jose, CA"
"CHI","88","http://dx.doi.org/10.1145/57167.57175","Retrieval systems for the information seeker: can the role of the intermediary be automated?","1 ","3","13","239","human factors; languages; query formulation","3","C. L. Borgman, Univ. of California, Los Angeles; N. J. Belkin, Rutgers Univ., New Brunswick, NJ; W. B. Croft, Univ. of Massachusetts, Amherst; M. E. Lesk, Bell Communications Research"
"CHI","88","http://dx.doi.org/10.1145/57167.57176","Transferring skills from training to the actual work situation: the role of task application knowledge, action styles and job decision latitude","0 ","n/a","n/a","n/a","application packages; human factors; management","6","P. von Papstein, Bayerische Motoren Werke AG, Munich, W. Germany"
"CHI","88","http://dx.doi.org/10.1145/57167.57177","A case study of CSCW in a dispersed organization","11 ","7","29","469","electronic mail; human factors; training","6","R. P. Carasik, Pacific Bell, San Ramon, CA"
"CHI","88","http://dx.doi.org/10.1145/57167.57178","A knowledge-based user interface management system","31 ","6","29","712","design; human factors; systems development","6","J. Foley, George Washington Univ., Washington, DC; C. Gibbs, George Washington Univ., Washington, DC"
"CHI","88","http://dx.doi.org/10.1145/57167.57179","A grammar-based approach to automatic generation of user-interface dialogues","2 ","2","8","559","algorithms; design; human factors; interaction techniques; parsing","6","M. L. Scott, Univ. of Rochester, Rochester, NY"
"CHI","88","http://dx.doi.org/10.1145/57167.57180","The design of auditory interfaces for visually disabled users","7 ","5","35","884","design; human factors; interaction techniques","6",""
"CHI","88","http://dx.doi.org/10.1145/57167.57181","Multifunctional cursor for direct manipulation user interfaces","3 ","5","19","291","dictionaries; human factors","6",""
"CHI","88","http://dx.doi.org/10.1145/57167.57182","An empirical comparison of pie vs. linear menus","110 ","17","157","1,777","human factors; interaction techniques","6","J. Callahan, Univ. of Maryland, College Park; D. Hopkins, Univ. of Maryland, College Park; M. Weiser, Univ. of Maryland, College Park"
