"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207678","Tell me more?: the effects of mental model soundness on personalizing an intelligent agent","0 ","121","789","789","debugging; mental models; music; recommenders","10","Todd Kulesza, Oregon State University, Corvallis, Oregon, United States; Simone Stumpf, City University London, London, United Kingdom; Margaret Burnett, Oregon State University, Corvallis, Oregon, United States; Irwin Kwan, Oregon State University, Corvallis, Oregon, United States"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207679","Pay attention!: designing adaptive agents that monitor and improve user engagement","0 ","121","716","716","adaptive agents; electroencephalography; immediacy; user interfaces","10","Daniel Szafir, University of Wisconsin-Madison, Madison, WI, United States; Bilge Mutlu, University of Wisconsin-Madison, Madison, Wisconsin, United States"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207680","Regroup: interactive machine learning for on-demand group creation in social networks","2 ","88","453","453","example and feature-based interaction; social network access control","10","Saleema Amershi, University of Washington, Seattle, Washington, United States; James Fogarty, University of Washington, Seattle, Washington, United States; Daniel Weld, University of Washington, Seattle, Washington, United States"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207681","Monsieur, azonnal k&#246;vessen engem bitte!: an automatically generated interlanguage tailored to speakers of minority but culturally influenced languages","0 ","78","324","324","cityspeak; localization; natural language processing; user/machine systems","4","Luis Leiva, Institut Tecnol&#242;gic d'Inform&#224;tica &#38; Universitat Polit&#232;cnica de Val&#232;ncia (UPV), Valencia, Spain; Vicent Alabau, Institut Tecnol&#242;gic d'Inform&#224;tica &#38; Universitat Polit&#232;cnica de Val&#232;ncia (UPV), Valencia, Spain"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207682","""Then click ok!"": extracting references to interface elements in online documentation","1 ","82","404","404","named entity recognition; user interfaces","4","Adam Fourney, University of Waterloo, Waterloo, Ontario, Canada; Ben Lafreniere, University of Waterloo, Waterloo, Ontario, Canada; Richard Mann, University of Waterloo, Waterloo, Ontario, Canada; Michael Terry, University of Waterloo, Waterloo, Ontario, Canada"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207684","""Oh dear stacy!"": social interaction, elaboration, and learning with teachable agents","1 ","96","463","463","computer uses in education; impoliteness; rapport; user interfaces","10","Amy Ogan, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Samantha Finkelstein, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Elijah Mayfield, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Claudia D'Adamo, Wheaton College, Norton, Massachusetts, United States; Noboru Matsuda, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Justine Cassell, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207685","From participatory to contributory simulations: changing the game in the classroom","0 ","92","475","475","ambient displays; contributory simulations; serious games; ubiquitous technologies","10","Stefan Kreitmayer, Open University, Milton Keynes &#38; University College London, London, United Kingdom; Yvonne Rogers, University College London, London, United Kingdom; Robin Laney, Open University, Milton Keynes, United Kingdom; Stephen Peake, The Open University, Milton Keynes, United Kingdom"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207687","The impact of tutorials on games of varying complexity","1 ","120","538","538","analytics; general; tutorials","10","Erik Andersen, University of Washington, Seattle, Washington, United States; Eleanor O'Rourke, University of Washington, Seattle, Washington, United States; Yun-En Liu, University of Washington, Seattle, Washington, United States; Rich Snider, University of Washington, Seattle, Washington, United States; Jeff Lowdermilk, University of Washington, Seattle, Washington, United States; David Truong, University of Washington, Seattle, Washington, United States; Seth Cooper, University of Washington, Seattle, Washington, United States; Zoran Popovic, University of Washington, Seattle, Washington, United States"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207688","Tales from the front lines of a large-scale serious game project","0 ","90","435","435","game design; learning games; reflective design","10","Rilla Khaled, IT University of Copenhagen, Copenhagen, Denmark; Gordon Ingram, University of Bath, Bath, United Kingdom"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207689","Not doing but thinking: the role of challenge in the gaming experience","1 ","111","670","670","challenge; general","10","Anna Cox, University College London, London, United Kingdom; Paul Cairns, University of York, York, United Kingdom; Pari Shah, University College London, London, United Kingdom; Michael Carroll, University of York, York, United Kingdom"
