"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","87","http://dx.doi.org/10.1145/29933.30852","Designing optimum CRT text blinking video image presentation","0 ","4","11","157","design; human factors; performance; user interfaces","6","Seiji Kitakaze, C&C Information Technology Research Laboratories, NEC Corporation, 4-1-1 Miyazaki, Miyamae-ku, Kawasaki, KANAGAWA, 213, JAPAN"
"CHI","87","http://dx.doi.org/10.1145/29933.30853","Why reading was slower from CRT displays than from paper","12 ","8","49","1,083","design; human factors; performance","5","John D. Gould, IBM Thomas J. Watson Research Center, Hawthorne, P. O. Box 704, Yorktown Heights, New York; Lizette Alfaro, IBM Thomas J. Watson Research Center, Hawthorne, P. O. Box 704, Yorktown Heights, New York; Rich Finn, IBM Thomas J. Watson Research Center, Hawthorne, P. O. Box 704, Yorktown Heights, New York; Brian Haupt, IBM Thomas J. Watson Research Center, Hawthorne, P. O. Box 704, Yorktown Heights, New York"
"CHI","87","http://dx.doi.org/10.1145/29933.30854","On the parameters of human visual performance: an investigation of the benefits of antialiasing","3 ","5","15","311","design; human factors; performance; theory","7","Kellogg S. Booth, Computer Graphics Laboratory, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1; M. Philip Bryden, Computer Graphics Laboratory, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1; Wiliam B. Cowan, Computer Graphics Laboratory, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1; Michael F. Morgan, Computer Graphics Laboratory, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
"CHI","87","http://dx.doi.org/10.1145/29933.30855","Approximate modelling of cognitive activity: towards an expert system design aid","3 ","8","15","330","cognitive simulation; human factors; performance; user interfaces","6","Phil Barnard, MRC Applied Psychology Unit, 15 Chaucer Road, Cambridge, England CB2 2EF; Michael Wilson, MRC Applied Psychology Unit, 15 Chaucer Road, Cambridge, England CB2 2EF"
"CHI","87","http://dx.doi.org/10.1145/29933.30856","Transfer between text editors","4 ","4","15","217","applications; document preparation; human factors; model validation and analysis; simulation output analysis","6","Peter G. Polson, University of Colorado, Boulder, CO; Susan Bovair, University of Michigan, Ann Arbor, MI"
"CHI","87","http://dx.doi.org/10.1145/29933.30857","Predicting the time to recall computer command abbreviations","6 ","6","19","239","design; interaction styles; performance","8","Bonnie E. John, Department of Psychology, Carnegie-Mellon University, Pittsburgh, PA"
"CHI","87","http://dx.doi.org/10.1145/29933.30858","Voice: technology searching for communication needs","3 ","6","31","610","design; human factors; performance; theory","4","Arlene Aucella, Hewlett-Packard, 3500 Deer Creek Rd., Pain Alto, CA"
"CHI","87","http://dx.doi.org/10.1145/29933.30859","Notecards in a nutshell","130 ","7","45","801","design; management; standardization; user interfaces","8","Frank G. Halasz, Intelligent Systems Laboratory, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA; Thomas P. Moran, Intelligent Systems Laboratory, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA"
"CHI","87","http://dx.doi.org/10.1145/29933.30860","A multiple, virtual-workspace interface to support user task switching","37 ","11","48","795","artificial, augmented, and virtual realities; human factors; performance; user-centered design","7","Stuart K. Card, Intelligent Systems Laboratory, Xerox Palo Alto Research Center, Palo Alto, California"
"CHI","87","http://dx.doi.org/10.1145/29933.30861","Experiences with the alternate reality kit: an example of the tension between literalism and magic","43 ","7","40","306","animations; environments; management; theory","7",""
"CHI","87","http://dx.doi.org/10.1145/29933.30862","A case example of human factors in product definition: needs finding for a voice output workstation for the blind","2 ","11","28","392","assistive technologies for persons with disabilities; health; human factors; performance; theory","5",""
"CHI","87","http://dx.doi.org/10.1145/29933.30864","A user interface for deaf-blind people (preliminary report)","2 ","12","38","625","assistive technologies for persons with disabilities; health; human factors; performance; user interfaces","6","Richard Ladner, Department of Computer Science, University of Washington, Seattle, Washington; randy Day, Department of Computer Science, University of Washington, Seattle, Washington; Dennis Gentry, Department of Computer Science, University of Washington, Seattle, Washington; Karin Meyer, Department of Computer Science, University of Washington, Seattle, Washington"
"CHI","87","http://dx.doi.org/10.1145/29933.30863","Towards universality of access: interfacing physically disabled students to the Icon educational microcomputer","0 ","6","14","356","assistive technologies for persons with disabilities; health; human factors; measurement; user interfaces","12",""
"CHI","87","http://dx.doi.org/10.1145/29933.30865","Interface design: a neglected issue in educational software","1 ","6","26","722","design; management; theory; user-centered design","5","Douglas Frye, Department of Computer Science, Yale University, P.O. Box 2158, New Haven, Connecticut"
"CHI","87","http://dx.doi.org/10.1145/29933.30866","Cognition-sensitive design and user modeling for syntax-directed editors","12 ","6","21","287","cognitive simulation; documentation; management; performance; user/machine systems","4",""
"CHI","87","http://dx.doi.org/10.1145/29933.30867","A self-regulating adaptive system","4 ","5","17","307","design; human factors; management; performance; user interfaces","5",""
"CHI","87","http://dx.doi.org/10.1145/29933.30868","The definition, editing, and contouring of surfaces for the analysis of field problems","1 ","4","9","210","algorithms; design; management; spline and piecewise polynomial approximation","6","Robert R. Dickinson, University of Waterloo, Department of Systems Design, Waterloo Ont., N2L 3G1"
"CHI","87","http://dx.doi.org/10.1145/29933.30869","From contours to surfaces: testbed and initial results","3 ","6","24","348","algorithms; design; human factors; performance; three-dimensional graphics and realism","6","Kenneth R. Sloan, Jr., Department of Computer Science, FR-35, University of Washington, Seattle WA"
"CHI","87","http://dx.doi.org/10.1145/29933.30870","Social science and system design: interdisciplinary collaborations","0 ","5","17","418","design; management; systems analysis and design","3",""
"CHI","87","http://dx.doi.org/10.1145/29933.30871","Positioning human factors in the user interface development chain","4 ","9","36","754","design; life cycle; performance; user interfaces","7",""
"CHI","87","http://dx.doi.org/10.1145/29933.30872","The interface is often not the problem","8 ","6","21","254","design; human factors; performance; user interfaces","4","Bengt Goransson, Uppsala University Data Center, Box 2103, S-750 02 Uppsala, Sweden; Mats Lind, Uppsala University Data Center, Box 2103, S-750 02 Uppsala, Sweden; Else Pettersson, Uppsala University Data Center, Box 2103, S-750 02 Uppsala, Sweden; Bengt Sandblad, Uppsala University Data Center, Box 2103, S-750 02 Uppsala, Sweden"
"CHI","87","http://dx.doi.org/10.1145/29933.30873","Designing for designers: an analysis of design practice in the real world","11 ","7","32","504","design; interactive systems; performance; theory","6","Mary Beth Rosson, IBM Thomas J. Watson Research Center, P.O. Box 704, Yorktown Heights, New York; Susanne Maass, IBM Thomas J. Watson Research Center, P.O. Box 704, Yorktown Heights, New York"
"CHI","87","http://dx.doi.org/10.1145/29933.30874","Automated lip-synch and speech synthesis for character animation","8 ","9","38","680","algorithms; animations; human factors; languages; natural language; theory","5","J. P. Lewis, Computer Graphics Laboratory, New York Institute of Technology"
"CHI","87","http://dx.doi.org/10.1145/29933.30875","Story driven animation","4 ","9","21","314","animation; design; languages; natural language; theory","5","Yosuke Takashima, C&C Information Technology Research Laboratories, NEC Corporation, 4-1-1 Miyazaki Miyamae-ku Kawasaki, Kanagawa 213 Japan; Hideo Shimazu, C&C Information Technology Research Laboratories, NEC Corporation, 4-1-1 Miyazaki Miyamae-ku Kawasaki, Kanagawa 213 Japan"
"CHI","87","http://dx.doi.org/10.1145/29933.30876","Issues limiting the acceptance of user interfaces using gesture input and handwriting character recognition (panel)","0 ","7","17","476","computer vision; documentation; human factors; optical character recognition; theory","4","John Sibert, George Washington University; Michael G. Buffa, Nestor Inc.; Hewitt D. Crane, SRI International & CIC; Wolfgang Doster, AEG Research Institute"
"CHI","87","http://dx.doi.org/10.1145/29933.275623","What kind of minimal instruction manual is the most effective","15 ","12","51","667","design; documentation; instruction; management; performance; training, help, and documentation","4","John B. Black, Columbia Univ., New York, NY; John M. Carroll, IBM T.J. Watson Research Center, Yorktown Heights, NY"
"CHI","87","http://dx.doi.org/10.1145/29933.275624","Intelligent help in a one-shot dialog: a protocol study","15 ","5","12","243","advisory dialogs; design; intelligent help; performance; training, help, and documentation","6","Amy Aaronson, IBM T.J. Watson Research Center, Yorktown Heights, NY"
"CHI","87","http://dx.doi.org/10.1145/29933.275625","Learning a word processing system with training wheels and guided exploration","23 ","4","22","476","design; error blocking; guided exploration; languages; measurement; performance; theory; training, help, and documentation; word processing","6","Richard Catrambone, Univ. of Michigan, Ann Arbor"
"CHI","87","http://dx.doi.org/10.1145/29933.275626","Behavioral experiments on handmarkings","1 ","5","15","149","design; editing; gestures; human factors; management; performance; user interface techniques","7","John D. Gould, IBM Thomas J. Watson Reseach Center, Yorktown Heights, NY"
"CHI","87","http://dx.doi.org/10.1145/29933.275627","An evaluation of an eye tracker as a device for computer input2","69 ","32","173","1,367","design; eye movements; input devices; management; theory","6","Colin Ware, Univ. of New Brunswick, Fredericton, N.B., Canada"
"CHI","87","http://dx.doi.org/10.1145/29933.275628","A hand gesture interface device","53 ","44","277","2,538","design; haptic i/o; human interface; management; motor interface; sensors; theory","4",""
"CHI","87","http://dx.doi.org/10.1145/29933.275629","Developing computer animation packages (panel)","1 ","3","10","287","animation; design; human factors; parallelism and concurrency; theory","4","Jeffrey Graber, Massachusetts Institute of Technology"
"CHI","87","http://dx.doi.org/10.1145/29933.275630","Learning about hidden events in system interactions","1 ","4","12","200","design; example-based learning; explanations; management; performance; training, help, and documentation","7","Stephen Casner, Univ. of Colorado, Boulder"
"CHI","87","http://dx.doi.org/10.1145/29933.275631","Transfer of learning: beyond common elements","0 ","5","16","240","cognitive skills; document preparation; human factors; management; production models; text editing; transfer","6",""
"CHI","87","http://dx.doi.org/10.1145/29933.275632","Sophisticated image rendering in environmental design review","0 ","5","11","212","design; government; image displays; performance; three-dimensional graphics and realism","8",""
"CHI","87","http://dx.doi.org/10.1145/29933.275633","The user interface and program structure of a graphical VLSI layout editor","0 ","5","12","214","cad/cam; graphics processors; interaction techniques; management; symbolic layout; theory; vlsi","7","Kevin S. B. Szab&#243;, Univ. of Waterloo, Waterloo, Ont., Canada"
"CHI","87","http://dx.doi.org/10.1145/29933.275634","Computer-supported cooperative work (panel): is this REALLY a new field of research?","0 ","6","23","221","computer-supported collaborative work; design; management; theory","2","Irene Greif, M. I. T. Laboratory for Computer Science"
"CHI","87","http://dx.doi.org/10.1145/29933.275635","Specifying complex dialogs in ALGAE","17 ","5","17","224","computer-user dialogs; event based languages; languages; performance; theory; user interfaces","6",""
"CHI","87","http://dx.doi.org/10.1145/29933.275636","Modular implementation of presentations","8 ","4","12","206","applications; graphical user interfaces; management; object-oriented programming; semantics of interaction; user interface management systems","6",""
