"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","00","http://dx.doi.org/10.1145/332040.332042","Unleashed: Web tablet integration into the home","9 ","19","77","949","consumer products; ergonomics; ethnography; human factors; internet appliances; measurement; performance; theory; web-based services","8",""
"CHI","00","http://dx.doi.org/10.1145/332040.332044","Predicting text entry speed on mobile phones","99 ","30","127","2,704","algorithms; digraph frequencies; fitts' law; human factors; keypad input; measurement; mobile systems; performance; text entry","8","Miika Silfverberg, Nokia Research Center, P.O. Box 407, FIN-00045 Nokia Group, Finland; I. Scott MacKenzie, Dept. of Mathematics & Statistics, York University, Toronto, Ontario, Canada M3J 1P3"
"CHI","00","http://dx.doi.org/10.1145/332040.332047","Developing a context-aware electronic tourist guide: some issues and experiences","248 ","48","297","4,122","adaptive hypermedia; design; human factors; management; mobile computing; performance; theory; user interfaces","8","Keith Cheverst, Distributed Multimedia Research Group, Department of Computing, Lancaster University, Lancaster, LA14YR, U.K.; Nigel Davies, Distributed Multimedia Research Group, Department of Computing, Lancaster University, Lancaster, LA14YR, U.K.; Keith Mitchell, Distributed Multimedia Research Group, Department of Computing, Lancaster University, Lancaster, LA14YR, U.K.; Adrian Friday, Distributed Multimedia Research Group, Department of Computing, Lancaster University, Lancaster, LA14YR, U.K."
"CHI","00","http://dx.doi.org/10.1145/332040.332403","Measuring the allocation of control in a 6 degree-of-freedom docking experiment","19 ","10","48","618","6 degree-of-freedom control; coordination; evaluation methods; human factors; interaction techniques; measurement; motor control; the m-metric; virtual docking task","8","Maurice R. Masliah, Ergonomics in Teleoperation and Control (ETC) Lab, Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, Ontario, Canada, M5S 3G8"
"CHI","00","http://dx.doi.org/10.1145/332040.332404","Symmetric bimanual interaction","28 ","14","117","896","design; guiard theory; input; interaction techniques; measurement; symmetric interaction; two-handed input","8","Ravin Balakrishnan, Aliaslwavefront, 210 King Street East, Toronto, Ontario, Canada M5A 1J7 and Dept. of Computer Science, University of Toronto, Toronto, Ontario, Canada M5S 3G4"
"CHI","00","http://dx.doi.org/10.1145/332040.332405","Two-handed input using a PDA and a mouse","13 ","16","44","1,325","design; human factors; internet; measurement; pebbles; personal digital assistant; smart environments; two-handed input; web-based interaction; windows ce","8","Brad A. Myers, Human Computer Interaction Institute, School of Computer Science, Carnegie Mellon University, Pittsburgh, PA; Kin Pou Lie, Human Computer Interaction Institute, School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"
"CHI","00","http://dx.doi.org/10.1145/332040.332406","The effects of animated characters on anxiety, task performance, and evaluations of user interfaces","51 ","17","87","1,991","animated characters; animations; experimentation; locus of control; measurement; social agents; theory","8","Raoul Rickenberg, Department of Communication, Stanford University, Stanford, CA"
"CHI","00","http://dx.doi.org/10.1145/332040.332407","Helper agent: designing an assistant for human-human interaction in  a virtual meeting space","43 ","15","87","1,134","artificial, augmented, and virtual realities; design; human factors; management; performance; theory; virtual reality","8","Katherine Isbister, NTT Open Lab, 2-4 Hikaridai, Seika-cho, Soraku-gun, Kyoto 619-0237, JAPAN; Hideyuki Nakanishi, Department of Social Informatics, Kyoto University, Kyoto 606-8501, JAPAN; Toru Ishida, Department of Social Informatics, Kyoto University, Kyoto 606-8501, JAPAN"
"CHI","00","http://dx.doi.org/10.1145/332040.332408","Agents to assist in finding help","25 ","10","62","745","agents; distributed artificial intelligence; help systems; java; languages; matchmaking; performance; training, help, and documentation","8","Adriana Vivacqua, Media Laboratory, Massachusetts Institute of Technology, Cambridge, MA"
"CHI","00","http://dx.doi.org/10.1145/332040.332409","Lurker demographics: counting the silent","73 ","22","143","1,526","bbs; design; email; human factors; lurker; management; membership; performance; traffic; user/machine systems","8",""
"CHI","00","http://dx.doi.org/10.1145/332040.332410","Talking in circles: designing a spatially-grounded audioconferencing environment","14 ","9","32","565","audio; computer conferencing, teleconferencing, and videoconferencing; design; gesture; interaction design; measurement; multicast; performance; social navigation; theory","8","Roy Rodenstein, Sociable Media Group, MIT Media Lab, 20 Ames Street, Cambridge, MA"
"CHI","00","http://dx.doi.org/10.1145/332040.332411","Jotmail: a voicemail interface that enables you to see what was said","18 ","7","31","495","&ldquo;speech as data&rdquo;; asynchronous communication; design; empirical evaluation; languages; measurement; performance; systems; voicemail","8","Steve Whittaker, ATT Labs-Research, 180 Park Avenue, Florham Park, NJ; Richard Davis, ATT Labs-Research, 180 Park Avenue, Florham Park, NJ"
"CHI","00","http://dx.doi.org/10.1145/332040.332412","Instructional interventions in computer-based tutoring: differential impact on learning time and accuracy","7 ","7","25","683","animation; design; instructional interface design; languages; management; performance; student modeling","8",""
"CHI","00","http://dx.doi.org/10.1145/332040.332413","Keystroke level analysis of email message organization","23 ","17","61","1,259","design; electronic mail; evaluation/methodology; management; model; performance; user","8",""
"CHI","00","http://dx.doi.org/10.1145/332040.332414","Using naming time to evaluate quality predictors for model simplification","7 ","6","21","545","design; human factors; image quality; measurement; modeling and recovery of physical attributes; performance; theory","8","Benjamin Watson, Dept. Computing Science, 615 General Services Bldg., University of Alberta, Edmonton, Alberta, Canada T6G 2H1; Alinda Friedman, Dept. Psychology, University of Alberta, Edmonton, Alberta, Canada T6G 2E9"
"CHI","00","http://dx.doi.org/10.1145/332040.332415","Interactive textbook and interactive Venn diagram: natural and intuitive interfaces on augmented desk system","35 ","8","63","1,173","augmented reality; computer uses in education; computer vision; education; human factors; management; theory","8","Hideki Koike, Graduate School of Information Systems, University of Electro-Communications, 1-5-1, Chofugaoka, Chofu, Tokyo 182-8585, Japan; Yoichi Sato, Institute of Industrial Engineering, University of Tokyo, 7-22-1, Roppongi, Minato-ku, Tokyo 106-0032, Japan"
"CHI","00","http://dx.doi.org/10.1145/332040.332416","<italic>curlybot</italic>: designing a new class of computational toys","49 ","10","52","825","children; design; human factors; management; tangible interface; toy; user/machine systems","8","Phil Frei, Tangible Media Group, MIT Media Laboratory, 20 Ames Street, Cambridge, MA; Victor Su, Tangible Media Group, MIT Media Laboratory, 20 Ames Street, Cambridge, MA; Bakhtiar Mikhak, Epistemology and Learning Group, MIT Media Laboratory, 20 Ames Street, Cambridge, MA"
"CHI","00","http://dx.doi.org/10.1145/332040.332417","HandSCAPE: a vectorizing tape measure for on-site measuring applications","6 ","7","26","200","design; general; input device; measurement; orientation-aware; physical interaction; theory","8","Jay Lee, MIT Media Laboratory, Tangible Media Group, 20 Ames Street, E15 {-444, -433, -485}, Cambridge, MA; Victor Su, MIT Media Laboratory, Tangible Media Group, 20 Ames Street, E15 {-444, -433, -485}, Cambridge, MA; Sandia Ren, MIT Media Laboratory, Tangible Media Group, 20 Ames Street, E15 {-444, -433, -485}, Cambridge, MA"
"CHI","00","http://dx.doi.org/10.1145/332040.332418","Bringing order to the Web: automatically categorizing search results","90 ","13","76","1,032","algorithms; design; human factors; internet; measurement; search; support vector machine; text categrization; user interface; web-based interaction; world wide web","8","Hao Chen, School of Information Management & Systems, University of California, Berkeley, CA"
