"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","03","http://dx.doi.org/10.1145/642611.642613","Peephole displays: pen interaction on spatially aware handheld computers","97 ","43","227","3,521","3-d drag-and-drop; graphical user interfaces; human factors; information browsers; interaction styles; mobile computing; personal information spaces; prototyping; time management","8",""
"CHI","03","http://dx.doi.org/10.1145/642611.642615","The evolution of buildings and implications for the design of ubiquitous domestic environments","38 ","17","110","2,585","design; human factors; theory; ubiquitous computing","8","Tom Rodden, The University of Nottingham, Nottingham, UK"
"CHI","03","http://dx.doi.org/10.1145/642611.642616","Technology probes: inspiring design for and with families","236 ","70","439","5,114","collaborative computing; design; evaluation/methodology; experimentation; human factors; sociology","8","Hilary Hutchinson, HCIL, UMIACS, CS/University of Maryland, College Park, MD; Wendy Mackay, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; Bo Westerlund, CID, NADA/Kungl Tekniska H&#246;gskolan, Stockholm, Sweden; Benjamin B. Bederson, HCIL, UMIACS, CS/University of Maryland, College Park, MD; Allison Druin, HCIL, UMIACS, CS/University of Maryland, College Park, MD; Catherine Plaisant, HCIL, UMIACS, CS/University of Maryland, College Park, MD; Michel Beaudouin-Lafon, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; St&#233;phane Conversy, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; Helen Evans, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; Heiko Hansen, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France; Nicolas Roussel, LRI, INRIA Futurs/Universit&#233; de Paris-Sud, Orsay Cedex, France"
"CHI","03","http://dx.doi.org/10.1145/642611.642618","Design and user evaluation of a joystick-operated full-screen magnifier","3 ","11","56","968","design; experimentation; joystick; visually impaired users","8","Sri Kurniawan, UMIST, Manchester, United Kingdom; Alasdair King, UMIST, Manchester, United Kingdom; David Gareth Evans, UMIST, Manchester, United Kingdom"
"CHI","03","http://dx.doi.org/10.1145/642611.642619","Older adults and visual impairment: what do exposure times and accuracy tell us about performance gains associated with multimodal feedback?","12 ","16","109","1,782","age related macular degeneration; design; human factors; human information processing; multimodality; user-centered design; visually impaired users","8","Julie A. Jacko, Georgia Institute of Technology, Atlanta, GA; Ingrid U. Scott, Bascom Palmer Eye Institute, Miami, FL; Francois Sainfort, Georgia Institute of Technology, Atlanta, GA; Leon Barnard, Georgia Institute of Technology, Atlanta, GA; Paula J. Edwards, Georgia Institute of Technology, Atlanta, GA; V. Kathlene Emery, Georgia Institute of Technology, Atlanta, GA; Thitima Kongnakorn, Georgia Institute of Technology, Atlanta, GA; Kevin P. Moloney, Georgia Institute of Technology, Atlanta, GA"
"CHI","03","http://dx.doi.org/10.1145/642611.642620","Multiple haptic targets for motion-impaired computer users","11 ","11","47","386","cursor control; evaluation/methodology; graphical user interfaces; human factors; measurement; performance; user-centered design","8","Faustina Hwang, University of Cambridge, Cambridge, UK; Simeon Keates, University of Cambridge, Cambridge, UK; Patrick Langdon, University of Cambridge, Cambridge, UK"
"CHI","03","http://dx.doi.org/10.1145/642611.642622","Semi-public displays for small, co-located groups","58 ","13","129","2,358","asynchronous interaction; bulletin boards; computer-supported cooperative work; experimentation; information visualization; ubiquitous computing","8","Elaine M. Huang, Georgia Institute of Technology, Atlanta, GA"
"CHI","03","http://dx.doi.org/10.1145/642611.642623","Designing novel interactional workspaces to support face to face consultations","21 ","12","58","1,397","computer-supported cooperative work; ethnography; experimentation; human factors; synchronous interaction","8","Tom Rodden, The University of Nottingham, Nottingham, UK; Yvonne Rogers, University of Sussex, Brighton, UK; John Halloran, University of Sussex, Brighton, UK"
"CHI","03","http://dx.doi.org/10.1145/642611.642624","Social coordination around a situated display appliance","18 ","14","65","949","design; evaluation/methodology; human factors; human information processing; time management","8","Kent O'Hara, The Appliance Studio, University Gate, Park Row, Bristol, UK; Mark Perry, Brunel University, Uxbridge, UK"
"CHI","03","http://dx.doi.org/10.1145/642611.642626","Comparative effectiveness of augmented reality in object assembly","28 ","27","179","2,418","augmented reality; evaluation/methodology; human factors","8","Arthur Tang, Michigan State Univeristy, East Lansing, MI; Charles Owen, Michigan State Univeristy, East Lansing, MI; Frank Biocca, Michigan State Univeristy, East Lansing, MI"
